Data          Hora     Bar   Temp_atual       Temp_med         Temp_min        Temp_max        Press_atual     Press_med      Press_min       Press_max
11/11/2024   08:00:00   1     28.77		26.60		23.61		28.79		941.60		941.37		940.41		942.24
                        2     25.98		24.76		23.47		25.96		939.84		939.72		939.51		939.87

11/11/2024   09:00:00   1     20.96		22.56		20.93		25.10		942.07		942.22		941.42		943.24
                        2     21.61		22.90		21.61		24.66		940.55		940.51		940.28		940.71

11/11/2024   11:00:00   1     17.90		18.90		17.85		25.10		941.09		941.81		940.40		943.24
                        2     18.68		19.58		18.68		24.66		939.48		940.09		938.70		940.99

11/11/2024   12:00:00   1     17.31		17.60		17.28		25.10		940.39		940.80		939.66		943.24
                        2     18.07		18.35		18.07		24.66		938.77		939.08		937.86		940.99

11/11/2024   13:00:00   1     17.01		17.19		16.98		25.10		939.47		939.92		938.55		943.24
                        2     17.77		17.93		17.75		24.66		937.75		938.21		936.97		940.99

11/11/2024   15:00:00   1     16.80		16.84		16.66		25.10		937.85		938.68		937.41		943.24
                        2     17.54		17.56		17.46		24.66		936.27		936.95		935.56		940.99

11/11/2024   16:00:00   1     16.52		15.81		-469.55		44.97		937.62		930.33		-1621.42		990.24
                        2     17.26		16.38		-540.03		24.66		935.86		927.43		-2173.29		943.03

11/11/2024   17:00:00   1     17.99		17.53		17.03		18.01		937.36		937.59		936.98		938.18
                        2     18.44		17.93		17.46		18.44		935.93		935.92		935.74		936.08

11/11/2024   19:00:00   1     17.99		18.40		17.03		18.79		937.93		937.82		936.65		939.73
                        2     18.84		19.21		17.46		19.55		936.56		936.13		935.74		936.59

11/11/2024   20:00:00   1     17.22		18.05		17.03		18.79		938.90		938.05		936.65		939.73
                        2     18.09		18.91		17.46		19.55		936.76		936.34		935.74		936.95

11/11/2024   21:00:00   1     16.63		17.72		16.54		18.79		939.05		938.28		936.65		939.87
                        2     17.53		18.59		17.46		19.55		937.30		936.57		935.74		937.53

11/11/2024   22:00:00   1     16.19		17.42		15.98		18.79		938.91		938.49		936.65		940.33
                        2     17.09		18.30		17.09		19.55		937.48		936.78		935.74		937.70

11/11/2024   23:00:00   1     15.92		17.16		15.69		18.79		939.28		938.61		936.65		940.33
                        2     16.73		18.05		16.73		19.55		937.23		936.90		935.74		937.70

12/11/2024   00:00:00   1     15.52		16.93		15.43		18.79		938.44		938.64		936.65		940.33
                        2     16.49		17.83		16.47		19.55		937.07		936.92		935.74		937.70

12/11/2024   09:00:00   1     19.08		18.68		15.62		19.21		938.77		938.77		937.58		939.38
                        2     22.09		20.52		15.00		22.09		937.21		937.14		936.54		937.35

12/11/2024   10:00:00   1     18.88		19.02		15.62		19.21		938.77		938.78		937.58		939.53
                        2     22.14		22.17		15.00		22.26		937.21		937.09		936.12		937.35

12/11/2024   11:00:00   1     18.69		16.30		-469.55		44.45		938.43		916.91		-1385.86		985.33
                        2     21.95		18.92		-540.03		22.26		936.77		910.52		-2181.63		937.35

12/11/2024   12:00:00   1     18.32		13.54		-469.55		44.45		937.86		883.22		-1616.37		985.53
                        2     21.62		15.64		-540.03		22.26		936.28		872.52		-2181.63		937.35

12/11/2024   13:00:00   1     18.36		18.28		-469.55		44.45		937.26		937.57		-1616.37		985.53
                        2     21.45		21.49		-540.03		22.26		935.29		935.85		-2181.63		937.35

12/11/2024   14:00:00   1     18.74		18.50		-469.55		44.45		935.86		936.52		-1616.37		985.53
                        2     21.88		21.63		-540.03		22.26		934.20		934.77		-2181.63		937.35

12/11/2024   15:00:00   1     19.03		18.99		-469.55		44.45		935.25		935.70		-1616.37		985.53
                        2     22.26		22.16		-540.03		22.30		933.70		933.96		-2181.63		937.35

