Data          Hora     Temp_atual   Temp_med   Temp_min   Temp_max   Press_atual   Press_med   Press_min   Press_max
2024-10-14   16:39:32   27.33°C     30.65°C     27.33°C   33.98°C    8740.30mbar  8775.45mbar  8740.30mbar  8810.60mbar
2024-10-14   16:41:51   27.33°C     28.54°C     27.33°C   34.58°C    8738.20mbar  8752.35mbar  8733.20mbar  8820.70mbar
2024-10-14   16:45:54   34.58°C     29.23°C     25.85°C   34.58°C    8820.20mbar  8760.19mbar  8723.10mbar  8821.10mbar
2024-10-14   16:46:00   27.33°C     29.17°C     25.85°C   34.58°C    8739.10mbar  8759.57mbar  8723.10mbar  8821.10mbar
2024-10-14   16:46:06   27.33°C     29.12°C     25.85°C   34.58°C    8738.70mbar  8758.97mbar  8723.10mbar  8821.10mbar
2024-10-14   16:46:12   34.58°C     29.27°C     25.85°C   34.58°C    8820.00mbar  8760.67mbar  8723.10mbar  8821.10mbar
2024-10-14   16:49:40   27.33°C     29.27°C     25.85°C   34.58°C    8739.10mbar  8760.54mbar  8723.10mbar  8821.10mbar
2024-10-14   16:49:46   27.33°C     29.24°C     25.85°C   34.58°C    8741.20mbar  8760.25mbar  8723.10mbar  8821.10mbar
2024-10-14   16:49:52   34.58°C     29.32°C     25.85°C   34.58°C    8818.80mbar  8761.11mbar  8723.10mbar  8821.10mbar
2024-10-14   16:59:33   34.05°C     30.29°C     25.85°C   34.58°C    8814.50mbar  8772.17mbar  8723.10mbar  8821.40mbar
